,School Name,Address,City,State,Zip,Mail Address,Mail City,State.1,Zip.1,Phone,Grade Range,Inst Email Address,Contact Salutation,First Name,Last Name,Contact Phone,Principals Email,Contact Type
112,Santiam Crossing,44644 Camp Morrison Dr,Scio,OR,97374.0,PO BOX 482,Scio,OR,97374.0,(503) 394-4294, 8-12,helen@santiamcrossing.com,Ms,Helen,Paul,(503) 394-4295,helen@santiamcrossing.com,Director of Education
113,Highland Community Pre-Kindergarten,4100 SE 182nd Ave,Gresham,OR,97030.0,4100 SE 182nd Ave,Gresham,OR,97030.0,(503) 665-6618, Pre,highlandcommunitychurch182@yahoo.com,Ms,Rosemary,Gibson,(503) 665-6618,highlandcommunitychurch182@yahoo.com,Preschool Director
114,Mt Hood Academy,88153 Loop Rd,Government Camp,OR,97028.0,PO Box 189,Government Camp,OR,97028.0,(503) 272-3503, 7-12,marygunesch@centurytel.net,Ms,Mary,Gunesch,(503) 272-3503,hoodacad@oregontrail.net,Education Director
115,SOAR Academy,18201 SE Stark St,Portland,OR,97233.0,18201 SE Stark St,Portland,OR,97233.0,(503) 789-7244, 6-12,hugh.ellis@comcast.net,Mr,Hugh,Ellis,(503) 789-7244,hugh.ellis@comcast.net,Director
116,Happy Valley Preschool,10151 SE 145th,Happy Valley,OR,97086.0,10151 SE 145th,Happy Valley,OR,97086.0,(503) 760-1234, Pre-K,hvpreschool@qwest.net,Ms,Mary,Friesen,(503) 760-1234,hvpreschool@qwest.net,Administrator
117,Immanuel Evangelical Lutheran School,510 Idylwood Dr SE,Salem,OR,97302.0,510 Idylwood Dr SE,Salem,OR,97302.0,(503) 371-5473, K-8,,Mr.,James,Wendland,(503) 371-5473,immanuel@open.org,Principal
118,Academy for Global Exploration,,,,,PO Box 712,Ashland,OR,97520.0,(541) 913-0660, 9-12,,Mr,Greg,Guevara,(541) 913-0660,info@AGExplore.org,Head of School
119,Aleph Bet Jewish Dayschool,6612 SW Capitol Hwy,Portland,OR,97201.0,6612 SW Capitol Hwy,Portland,OR,97201.0,(503) 977-7850, Pre-8,,Ms,Nan ,Jarashow,(503) 977-7850,info@alephbet.org,Head of School
120,Arbor School of Arts & Sciences,4201 SW Borland Rd,Tualatin,OR,97062.0,4201 SW Borland Rd,Tualatin,OR,97062.0,(503) 638-6399, K-8,,Ms,Kit,Hawkins,(503) 638-6399,info@arborschool.org,Director
121,Community Works/Lithia Springs School,695 Mistletoe Rd Ste H,Ashland,OR,97520.0,695 Mistletoe Rd Ste H,Ashland,OR,97520.0,(541) 482-5818, 8-12,,Ms,Stephanie,Atkinson,,info@community-works.org,Principal
122,St Andrew Nativity School,4925 NE 9th,Portland,OR,97211.0,PO Box 11127,Portland,OR,97211.0,(503) 335-9600, 6-8,,Father,Jeffrey,McDougall,(503) 335-9600,info@nativityportland.com,Principal
123,Puddletown School,3214 SE Holgate,Portland,OR,97202.0,3214 SE Holgate,Portland,OR,97202.0,(503) 539-6385, Pre-K,puddletownschoo.@gmail.com,Mr,Samuel,Montana-Gardner,(503) 539-6385,info@puddletownschool.com,Director
124,Trinity Lutheran School,2550 NE Butler Market Rd,Bend,OR,97701.0,2550 NE Butler Market Rd,Bend,OR,97701.0,(541) 382-1850, Pre-9,,Mr,Robert,Fowls,(541) 382-1850,info@saints.org,Head of School
125,St Francis School,2450 NE 27th St,Bend,OR,97701.0,2450 NE 27th St,Bend,OR,97701.0,(541) 382-4701, Pre-8,,Mr,David,Stone,(541) 382-4701,info@stfrancisisschool.net,Principal
126,Central Christian Schools,2234 SE 6th,Redmond,OR,97756.0,PO Box 639,Redmond,OR,97756.0,(541) 548-7803, Pre-12,bmahnkeccs@bendbroadband.com,Mr.,William,Mahnke,(541) 548-7803,info2ccs@bendbroadband.com,Administrator
127,Pacific Northwest Academy,27960 SW Canyon Creek Rd,Wilsonville,OR,97070.0,PO Box 683,Wilsonville,OR,97070.0,(503) 582-8838, K-8,j.white@pacificnorthwestacademy.org,Mr,James,White,(503) 582-8838,j.white@pacificnorthwestacademy.org,Head of School
128,New Hope Weekday Preschool,11731 SE Stevens Rd,Portland,OR,97266.0,11731 SE Stevens Rd,Portland,OR,97266.0,(503) 659-5683, Pre,,Ms,Janet,Cotton,(503) 659-5683,janet@newhopecommunitychurch.org,Pastor
129,St Anthony's School,12645 SW Pacific Hwy,Tigard,OR,97223.0,12645 SW Pacific Hwy,Tigard,OR,97223.0,(503) 639-4979, Pre-8,jbloudek!stanthonytigard.org,Ms,Jeananne,Bloudek,(503) 639-4979,jbloudek@stanthonytigard.org,Principal
130,St Agatha School,7960 SE 15th,Portland,OR,97202.0,7960 SE 15th,Portland,OR,97202.0,(503) 234-5500, Pre-8,,Mr,Joseph,Bridgman,(503) 234-5500,jbridgeman@stagatha.us,Principal
131,Our Lady of the Lake School,716  A  Ave,Lake Oswego,OR,97034.0,716  A  Ave,Lake Oswego,OR,97034.0,(503) 636-2121, K-8,jcodd@ollschool-lakeoswego.org,Ms.,Joan,Codd,(503) 636-2121,jcodd@ollschool-lakeoswego.org,Principal
132,Columbia Christian School,413 NE 91st Ave,Portland,OR,97220.0,413 NE 91st Ave,Portland,OR,97220.0,(503) 252-8577, K-12,,Mr,Joel,Davis,(503) 252-8577,jdavis@columbiachristian.com,Superintendent
133,Providence/Benedictine Nursing Center Child Development,560 S Main St,Mt Angel,OR,97362.0,560 S Main St,Mt Angel,OR,97362.0,(503) 845-2662, Pre,jean.brougher@providence.org,Mrs,Jean,Brougher,,jean.brougher@providence.org,Director
134,The Neighborhood School,21065 SW Stafford Rd,Tualatin,OR,97062.0,PO Box 2000,Wilsonville,OR,97070.0,(503) 638-8765, Pre-3,debbiem@theneighborhoodchurch.org,Mr,Jeff,Wiedenmeyer,(503) 638-8765,jeffw@theneighborhoodchurch.org,Administrator
135,Pacific Crest Community School,116 NE 29th,Portland,OR,97232.0,116 NE 29th,Portland,OR,97232.0,(503) 234-2826, 7-12,jenny@pcrest.org,Ms,Jennifer,Osborne,,jenny@pcrest.org,Director
136,Tualatin Valley Junior Academy,21975 SW Baseline Rd,Hillsboro,OR,97123.0,21975 SW Baseline Rd,Hillsboro,OR,97123.0,(503) 649-5518, Pre-10,jessee@tvja.org,,Jesse,Cone,(503) 649-5518,jessec@tvja.org,Principal
137,Saint Anne Catholic School,1131 NE 10th St,Grants Pass,OR,97526.0,1131 NE 10th St,Grants Pass,OR,97526.0,(541) 479-1582, Pre-8,,Ms,Jacqueline,Henry,(541) 479-1582,jhenry@archdpdx.org,Principal
138,De La Salle North Catholic High School,7654 N Delaware St,Portland,OR,97217.0,7654 N Delaware St,Portland,OR,97217.0,(503) 285-9385, 9-12,,Mr.,John,Huelskamp,(503) 285-9385,jhuelskamp@delasallenorth.org,Principal
139,Faith Bible Christian School,,,,,16860 SW Blanton St,Aloha,OR,97007.0,(503) 642-4112, Pre-12,,Mr,Jim,Cochran,(503) 642-4112,jim.cochran@faithkids.org,Superintendent
140,Milwaukie Covenant Preschool,12201 SE Linwood Ave,Milwaukie,OR,97222.0,12201 SE Linwood Ave,Milwaukie,OR,97222.0,(503) 654-4138, Pre-K,jmjarmoore@comcast.net,"Mrs
Ms",Maureen,Moore,,jmjarmoore@comcast.net,Director/Teacher
141,Bridges Academy,67030 Gist Rd,Bend,OR,97701.0,67030 Gist Rd,Bend,OR,97701.0,(541) 318-9345, 9-12,gayle@bridgesboysacademy.com,,Joan ,McOmber,,joan@bridgesboysacademy.com,Executive Director
142,Oregon State University Child Development Center,26th & Orchard,Corvallis,OR,97331.0,130 Bates Hall,Corvallis,OR,97331.0,(541) 737-2516, Pre,joanne.sorte@oregonstate.edu,Ms.,Joanne,Sorte,(541) 737-2516,joanne.sorte@oregonstate.edu,Director
143,North Clackamas Christian School,19575 Sebastian Way,Oregon City,OR,97045.0,19575 Sebastian Way,Oregon City,OR,97045.0,(503) 655-5961, Pre-12,,Mr,Joe,Morgan,(503) 655-5961,joe_morgan@ncchristianschool.com,Administrator
144,St Ignatius School,3330 SE 43rd Ave,Portland,OR,97206.0,3330 SE 43rd Ave,Portland,OR,97206.0,(503) 774-5533, K-8,johnm@stignatiusschool.org,Mr,John,Matcovich,(503) 774-5533,johnm@stignatiusschool.org,Principal
145,Salem Montessori School,2140 16th St NE,Salem,OR,97303.0,PO Box 7724,Salem,OR,97303.0,(503) 364-6615, Pre-K,kapila@salemmontessorischool.com,Mr,Kapila,Liyanage,(503) 364-6615,kapila@salemmontessorischool.com,Administrator
146,St John the Baptist School,10956 SE 25th Ave,Milwaukie,OR,97222.0,10956 SE 25th Ave,Milwaukie,OR,97222.0,(503) 654-0200, K-8,katievinc@netscape.net,Mrs,Kathleen,Vincent,(503) 654-0200,katievinc@netscape.net,Principal
147,St Paul Parish School,1201 Satre St,Eugene,OR,97401.0,1201 Satre St,Eugene,OR,97401.0,(541) 344-1401, Pre-8,kbraud@saintpaul-school.org,MS,Kelli,Braud,(541) 344-1401,kbraud@saintpaul-school.org,Principal
148,St John Lutheran School,1350 Court St NE,Salem,OR,97301.0,1350 Court St NE,Salem,OR,97301.0,(503) 588-0171, Pre-K,,Ms,Kelly,Crabtree,(503) 588-0171,kcrabtree_sjlc@hotmail.com,Administrator
149,West Hills Schools - Montessori and Elementary Programs,4920 SW Vermont St,Portland,OR,97219.0,4920 SW Vermont St,Portland,OR,97219.0,(503) 246-5495, Pre-K,tressieb@aol.com,Ms,Barbara,Bennink,(503) 246-5495,kehlbeck@hotmail.com,Teacher/Administrator
150,West Hills Schools-Montessori II Garden Home Campus,7475 SW Garden Home Rd,Portland,OR,97223.0,4920 SW Vermont St,Portland,OR,97219.0,(503) 246-5495, Pre-K,kehlbeck@hotmail.com,Ms,Mary Ann,Parker,(503) 246-5495,kehlbeck@hotmail.com,Teacher/Administrator
151,West Hills Schools-Montessori II Multnomah Campus,3824 SW Troy St,Portland,OR,97219.0,4920 SW Vermont St,Portland,OR,97219.0,(503) 246-5495, Pre-K,kehlbeck@hotmail.com,Ms,Barbara,Bennink,(503) 246-5495,kehlbeck@hotmail.com,Teacher/Administrator
152,Keizer Happy Days,481 Sunset Dr N,Keizer,OR,97303.0,PO Box 9220,Salem,OR,97305.0,(503) 393-4542, Pre-3,keizerhappydays@aol.com,Ms,Beverly,Johnson,(503) 393-4542,keizerhappydays@aol.com,Director
153,Gaarde Christian School,11265 SW Gaarde St,Tigard,OR,97224.0,11265 SW Gaarde St,Tigard,OR,97224.0,(503) 639-5336, Pre-8,kellie.h@tigardassembly.org,Mrs.,Kellie,Hooper,(503) 639-5336,kellie.h@tigardassembly.org,Administrator
154,"Klamath-Lake County Youth Ranch, Inc",5800 Happy Hollow Ln,Bonanza,OR,97623.0,5800 Happy Hollow Ln,Bonanza,OR,97623.0,(541) 545-6742, 9-12,,Mr,James,Yoder,,KFallsYthRanch@aol.com,Executive Director
155,Head Start of Lane Co-Bethel,1801 Echo Hollow Rd,Eugene,OR,97402.0,221 B St,Springfield,OR,97477.0,(541) 461-6401, Pre,,Mrs,Karen,Hamilton,(541) 747-2425,khamilton@head-start.lane.or.us,Program Director
156,Head Start of Lane Co-Holly,725 42nd St,Springfield,OR,97477.0,221 B St,Springfield,OR,97477.0,(541) 747-2425, Pre,,Mrs,Karen,Hamilton,(541) 747-2425,khamilton@head-start.lane.or.us,Program Director
157,Head Start of Lane Co-Cottage Grove,305 Coop Ct,Cottage Grove,OR,97424.0,221 B St,Springfield,OR,97477.0,(541) 747-2425, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
158,Head Start of Lane Co-Creswell Creslane Elem School Rm 2,996 W  A  St,Creswell,OR,97426.0,221 B St,Springfield,OR,97477.0,(541) 747-2425, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
159,Head Start of Lane Co-Howard,790 Howard Ave,Eugene,OR,97404.0,,,,,(541) 747-2425, Pre,khamilton@head-start.lane.or.us,Ms.,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
160,Head Start of Lane Co-Junction City,722 W 5th St,Junction City,OR,97477.0,221 B St,Springfield,OR,97477.0,(541) 747-2425, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Director
161,Head Start of Lane Co-Ross Lane,2648 Ross Ln,Eugene,OR,97402.0,221 B St,Springfield,OR,97477.0,(541) 607-5965, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
162,Head Start of Lane Co-The Park at Emerald Village,1950 N Second St,Springfield,OR,97477.0,221 B St,Springfield,OR,97477.0,(541) 746-9771, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
163,Head Start of Lane Co-University of Oregon,901 E 18th #157,Eugene,OR,97403.0,221 B St,Springfield,OR,97477.0,(541) 346-2646, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
164,Head Start of Lane Co-Village,320 W Fairview,Springfield,OR,97477.0,221 B St,Springfield,OR,97477.0,(541) 747-2425, Pre,,Mrs,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
165,Head Start of Lane Co-Whiteaker,21 N Grand,Eugene,OR,97402.0,221 B St,Springfield,OR,97477.0,(541) 343-7585, Pre,,,Karen,Hamilton,,khamilton@head-start.lane.or.us,Program Director
166,St Cecilia School,12250 SW 5th St,Beaverton,OR,97005.0,12250 SW 5th St,Beaverton,OR,97005.0,(503) 644-2619, K-8,,Ms,Kathy,Harp,(503) 644-2691,kharp@stcecilia.pvt.k12.or.us,Principal
167,Grant Avenue Baptist Preschool,1625 NW Grant Ave,Corvallis,OR,97330.0,1625 NW Grant Ave,Corvallis,OR,97330.0,(541) 758-0274, Pre,kim@grantavebc.com,,Kim,Osieczanek,,kim@grantavebc.com,Director
168,Kingsview Christian School,1850 Clark St,North Bend,OR,97459.0,1850 Clark St,North Bend,OR,97459.0,(541) 756-1411, Pre-12,kingsviewchristian@gmail.com,Ms,Rick,Wetherell,(541) 756-1411,kingsviewchristian@gmail.com,Superintendent
169,Laurelwood Adventist Elementary School,39300 SW Laurelwood Rd,Gaston,OR,97119.0,PO Box 39,Gaston,OR,97119.0,(503) 985-7289, K-9,laes7@juno.com,Mrs.,Kathy,Parish,(503) 985-7289,laes7@juno.com,Head Teacher
170,Crossroads Christian,2505 NE 102nd Ave,Portland,OR,97220.0,2505 NE 102nd Ave,Portland,OR,97220.0,(503) 254-1431, Pre-8,,,Larry,Whittlesey,(503) 254-1431,Larry.Whittlesey@Crossroadsportland.com,Principal
171,"The Next Door, Inc",The Klahre House,Hood River,OR,97031.0,PO Box 661,Hood River,OR,97031.0,(541) 386-5520, 7-12,larryj@nextdoorinc.org,Mr,Larry,James,(541) 386-5520,larryJ@nextdoorinc.org,Program Administrator
172,Sacred Heart School,515 7th St,Gervais,OR,97026.0,PO Box 215,Gervais,OR,97026.0,(503) 792-4541, K-8,,Ms,Lucy,Shindler,(503) 792-4541,lashindler@gervais.com,Principal
173,SCAR/Jasper Mountain Center,37875 Jasper-Lowell Rd,Jasper,OR,97438.0,37875 Jasper-Lowell Rd,Jasper,OR,97438.0,(541) 747-1235, Pre-8,,Mr,Milo,Holden,(541) 747-1235,lbholden@comcast.net,Coordinator
174,Chemawa Indian School,3700 Chemawa Rd NE,Salem,OR,97305.0,3700 Chemawa Rd NE,Salem,OR,97305.0,(503) 399-5721, 9-12,,Mr,Larry,Byers,(503) 399-5721,lbyers@bia.edu,Supervisor
175,Miss Muffet's Learning Center,2802 Altamont Dr,Klamath Falls,OR,97603.0,2802 Altamont Dr,Klamath Falls,OR,97603.0,(541) 884-8415, Pre-K,,Ms,Linda,Cook,(541) 884-8415,lcook@charterinternet.com,Director
176,The Dalles SDA School,3339 E 13th St,The Dalles,OR,97058.0,3339 E 13th St,The Dalles,OR,97058.0,(541) 296-2692, K-8,learnersinc@earthlink.net,Ms,Patricia,Perry,,learnersinc@earthlink.net,Head Teacher
177,Learning Link LLC,795 NE Lookout Ave,Prineville,OR,97754.0,795 NE Lookout Ave,Prineville,OR,97754.0,(541) 447-6814, K-12,learninglinkllc@msn.com,Ms,Leola,Hensley,(541) 447-6814,learninglinkllc@msn.com,Manager
178,Linfield Pre-Kindergarten School Unit V Linfield College,1045 S Davis,McMinnville,OR,97128.0,"900 SE Baker St, A482",McMinnville,OR,97128.0,(503) 883-2268, Pre,lelmer@linfield.edu,Ms,Lucetta,Elmer,,lelmer@linfield.edu,Director/Teacher
179,Salem Academy Elementary,255 College Dr NW B,Salem,OR,97304.0,255 College Dr NW B,Salem,OR,97304.0,(503) 378-1221, Pre-5,lgardner@salemacademy.org,Ms,Lois,Gardner,(503) 378-1221,lgardner@salemacademy.org,Principal
180,De Paul Treatment Centers Inc,4310 NE Killingsworth St,Portland,OR,97218.0,PO Box 3007,Portland,OR,97208.0,(503) 535-1150, 9-12,lindac@depaultreatmentcenters.org,,Linda,Craft-Coleman,(503) 535-1181,lindac@depaultreatmentcenters.org,Director of Youth Services
181,Eugene Christian School,2895 Chad Drive,Eugene,OR,97405.0,2895 Chad Drive,Eugene,OR,97405.0,(541) 686-9145, Pre-8,,Ms,Leo,Limoges,,Llimoges@eugenechristianschool.com,Principal
182,Christ the Vine Early Childhood Center,18677 SE Hwy 212,Clackamas,OR,97015.0,18677 SE Hwy 212,Clackamas,OR,97015.0,(503) 658-5650, Pre-K,,Mrs,Lori,Waetzig,(503) 658-5650,lori@christthevinelutheran.org,Director
183,Sylvan Learning Center #107,7809 SW Nyberg Rd,Tualatin,OR,97062.0,PO Box 1472,Tualatin,OR,97062.0,(503) 692-5080, K-12,,Ms,Lucille,VanHouten,(503) 692-5080,lucille@sylvantualatin.com,Owner
184,Maple Street Preschool,1610 Maple St,Lake Oswego,OR,97034.0,1610 Maple St,Lake Oswego,OR,97034.0,(503) 636-3579, Pre,,Ms,Peggy,Goldman,(503) 636-3579,maplest1@msn.com,Owner
185,CS Lewis Academy ,200 S College St,Newberg,OR,97132.0,P O Box 3250,Newberg,OR,97132.0,(503) 538-0114, Pre-12,highschool@cslewisacademy.com,Mr,Mike,McConaughey,,mcconaughey@cslewisacademy.com,Principal
186,Marylhurst Early Childhood Center,817 12th St,Oregon City,OR,97045.0,817 12th St,Oregon City,OR,97045.0,(503) 650-0978, Pre-K,,Ms,Cheryl,Forsberg,(503) 650-0978,mecc@pcez.com,Director
187,Grace Lutheran School,2252 SE 92nd Ave,Portland,OR,97216.0,2252 SE 92nd Ave,Portland,OR,97216.0,(503) 777-8628, Pre-8,mleitzke@grace-wels.net,Mr.,Mark,Leitzke,(503) 777-8628,mleitzke@grace-wels.net,Principal
188,St John the Apostle School,516 5th St,Oregon City,OR,97045.0,516 5th St,Oregon City,OR,97045.0,(503) 742-8230, Pre-8,mnagel@sja.pvt.ker.or.us,Ms,Machelle,Nagel,(503) 742-8230,mnagel@sja.pvt.k12.or.us,Principal
189,St Clare School,1807 SW Freeman,Portland,OR,97219.0,1807 SW Freeman,Portland,OR,97219.0,(503) 244-7600, K-8,,Sr,Maureen,Oliver,(503) 244-7600,moe@aracnet.com,Principal
190,Cascade Christian High School,525 East E,Jacksonville,OR,97530.0,525 East E,Jacksonville,OR,97530.0,(541) 899-2060, 9-12,mperry@gracechristian.org,Mr.,Mark,Perry,(541) 899-2060,mperry@gracechristian.org,Principal
191,Hosanna Christian School,5000 Hosanna Way,Klamath Falls,OR,97603.0,5000 Hosanna Way,Klamath Falls,OR,97603.0,(541) 882-7732, Pre-12,,Mr,Daniel,Dickey,(541) 882-7732,mrdickey@hosannachristian.org,Administrator
192,Rocking Horse Day School,15750 SW Upper Boones Ferry Rd,Lake Oswego,OR,97035.0,15750 SW Upper Boones Ferry Rd,Lake Oswego,OR,97035.0,(503) 639-0231, K,terry.meisenburg@providence.org,Mr.,Matt,Rotkowski,(503) 639-0231,mrotkowski@comcast.net,Administrator
193,Pilgrim Lutheran School,5650 SW Hall Blvd,Beaverton,OR,97005.0,5650 SW Hall Blvd,Beaverton,OR,97005.0,(503) 644-8697, Pre-8,mschuldheisz@pilgrimbeaverton.com,Ms,Mary,Schuldheisz,(503) 644-8697,mschuldheizs@pilgrimbeaverton.com,Principal
194,Oregon Museum of Science and Industry,1945 SE Water Ave,Portland,OR,97214.0,1945 SE Water Ave,Portland,OR,97214.0,(503) 797-4000, Pre-12,,Mr.,Mat,Sinclair,(503) 797-4000,msinclair@omsi.edu,President/Executive Director
195,Park Academy,17600 Pacific Hwy (Hwy 43),Marylhurst,OR,97036.0,P O Box 34,Marylhurst,OR,97036.0,(503) 697-6213, 1-12,msoule@parkacademy.org,Ms,Myrna,Soule,(503) 697-6213,msoule@parkacademy.org,Director of Education
196,KinderCare Learning Centers Inc,4600 NE Cornell Rd,Hillsboro,OR,97124.0,4600 NE Cornell Rd,Hillsboro,OR,97124.0,(503) 648-2443, Pre-K,,Ms.,Megan,Thrall,(503) 648-2443,mthrall@k1corp.com,Director
197,Eastmont Community School,62425 Eagle Rd,Bend,OR,97701.0,62425 Eagle Rd,Bend,OR,97701.0,(541) 382-2049, Pre-3,mwelch1020@aol.com,Ms,Michelle,Welch,(541) 382-5822,mwelch1020@aol.com,Director
198,CrossRoads School,400 Earhart,Medford,OR,97501.0,400 Earhart,Medford,OR,97501.0,(541) 770-1270, 6-12,mwolfe@crossroadscw.org,Mr,Mark,Wolfe,(541) 770-1270,mwolfe@crossroadscs.org,Principal
199,Life Christian School,5585 SW 209th Ave,Aloha,OR,97007.0,5585 SW 209th Ave,Aloha,OR,97007.0,(503) 259-1329, Pre-12,akronberger@lifeonweb.org,Mr,Adam,Kronberger,(503) 259-1329,nanderson@lifeonweb.org,Principal
200,Willow Learning Center,87898 Laporte Rd,Eugene,OR,97408.0,87898 Laporte Rd,Eugene,OR,97408.0,(541) 485-1770, Pre,ncomeau@comcast.net,Ms,Nathelle,Comeau,(541) 485-1770,ncomeau@comcast.net,Co-Director
201,Banks Christian Academy,22785 NW Fisher Rd,Buxton,OR,97109.0,22785 NW Fisher Rd,Buxton,OR,97109.0,(503) 324-4500, Pre-8,,Mrs,Norma,Heiser,(503) 324-4500,norma.heiser@bankschristianacademy.org,Principal
202,"Cobblestone Children's Center, LLC",63176 Watercress Way,Bend,OR,97701.0,63176 Watercress Way,Bend,OR,97701.0,(541) 318-5455, Pre-K,novagirl@bendcable.com,Mrs,Debi,Smith,(541) 318-5455,novagirl@bendcable.com,Owner/Director
203,Whole Child Montessori Center Inc,5909 SE 40th Ave,Portland,OR,97202.0,5909 SE 40th Ave,Portland,OR,97202.0,(503) 771-6366, Pre-K,,Ms,Nancy,Pribnow,(503) 771-6366,np4wcmc@aol.com,Administrator
204,Canyonville Christian Academy,250 E First St,Canyonville,OR,97417.0,PO Box 1100,Canyonville,OR,97417.0,(541) 839-4401, 7-12,,Ms,Noel,Schaak,(541) 839-4401,nschaak@canyonville.net,Principal
205,Gresham United Methodist Preschool,620 NW 8th,Gresham,OR,97030.0,620 NW 8th,Gresham,OR,97030.0,(503) 665-1192, Pre,,Ms,Christy,Benoit,,office.gumc@frontier.com,Director of Education
206,Albany Christian School,420 3rd Ave SE,Albany,OR,97321.0,420 3rd Ave SE,Albany,OR,97321.0,(541) 928-1110, Pre-8,,Ms,Katie,Miller,(541) 928-1110,office@albanychristianschool.org,Principal
207,All Saints School,601 NE 39th,Portland,OR,97232.0,601 NE 39th,Portland,OR,97232.0,(503) 236-6205, Pre-8,,Ms,"Barbara ""Rose""",Rosinski,(503) 236-6205,office@allsaintsportland.org,Principal
208,St Francis School,15643 SW Oregon St,Sherwood,OR,97140.0,15643 SW Oregon St,Sherwood,OR,97140.0,(503) 625-0497, K-8,,Mr,Michael,Cantu,(503) 625-0497,office@stfrancissherwood.org,Principal
209,Oregon Outreach Inc The Gladys McCoy Academy,3802 NE Martin Luther King Jr Blvd,Portland,OR,97212.0,3802 NE Martin Luther King Jr Blvd,Portland,OR,97212.0,(503) 281-9597, 9-12,000ibecky@gmail.com,Ms,Rebecca,Black,(503) 281-9597,oo1becky@gmail.com,Director
210,Pacific Christian School,2203 4th St,Tillamook,OR,97141.0,PO Box 347,Tillamook,OR,97141.0,(503) 842-4727, K-6,pacificchristian@oregoncoast.com,Mr,Harry,Hewitt,(503) 842-4727,pacificchristian@oregoncoast.com,Principal
211,Catlin Gabel School,8825 SW Barnes Rd,Portland,OR,97225.0,8825 SW Barnes Rd,Portland,OR,97225.0,(503) 297-1894, Pre-12,,Mr,Lark,Palma,(503) 297-1894,palmal@catlin.edu,Head of School
212,The Childrens Hour Academy,14790 SW Boones Ferry Rd,Lake Oswego,OR,97035.0,14790 SW Boones Ferry Rd,Lake Oswego,OR,97035.0,(503) 635-2139, Pre-5,pat@childrens-home.com,Mrs,Patricia,Thomas,(503) 635-2139,pat@childrens-hour.com,Executive Director
213,St Mary's Academy,1615 SW 5th Ave,Portland,OR,97201.0,1615 SW 5th Ave,Portland,OR,97201.0,(503) 228-8306, 9-12,,Mrs,Patricia,Barr,(503) 228-8306,path@stmaryspdx.org,Principal
214,Pathfinder Academy,8010 N Charleston Ave,Portland,OR,97203.0,8010 N Charleston Ave,Portland,OR,97203.0,(503) 307-2270, 9-12,pathfinderacademy@yahoo.com,Mr,Ely,Sanders,(503) 330-7227,pathfinderacademy@yahoo.com,Director
215,Sonshine Express Preschool Mountain Park Church,40 McNary Parkway,Lake Oswego,OR,97035.0,40 McNary Parkway,Lake Oswego,OR,97035.0,(503) 635-3761, Pre-K,pattyh@mtnparkchurch.org,Ms,Patricia,Hottmann,(503) 635-3761,pattyh@mtnparkchurch.org,Director
216,McMinnville Adventist Christian School,1349 Elm St,McMinnville,OR,97128.0,1349 Elm St,McMinnville,OR,97128.0,(503) 472-3336, K-8,paul@macschool.org,,Shawn,Plafker,(503) 472-3336,paul@macschool.org,Principal
217,St Paul Lutheran Church School/Child Care,750 W Keady Ct,Roseburg,OR,97470.0,750 W Keady Ct,Roseburg,OR,97470.0,(541) 673-7982, Pre-8,peter.anderson@stpaul-roseburg.org,Mr,Peter,Anderson,(503) 673-7212,peter.anderson@stpaul-roseburg.org,Principal
218,Montessori School of Beaverton Ltd,11065 NW Crystal Creek Ln,Portland,OR,97229.0,11065 NW Crystal Creek Ln,Portland,OR,97229.0,(503) 439-1597, Pre-6,peter@msb.org,Mr,Peter,Davidson,,peter@msb.org,Administrator
219,Celebration Academy of the Performing Arts,8202 N Denver,Portland,OR,97217.0,PO BOX 17475,Portland,OR,97217.0,(503) 737-2272, Pre-8,capa@ctoregon.org,Ms,Karen,Leighton,(503) 285-7234,pleighton@ctoregon.org,Director
220,Marist High School,1900 Kingsley Rd,Eugene,OR,97401.0,1900 Kingsley Rd,Eugene,OR,97401.0,(541) 686-2234, 9-12,pmartin@marisths.org,Mr,Perry,Martin,(541) 686-2234,pmartin@marisths.org,Principal
221,Redeemer Lutheran Preschool,4663 Lancaster Dr NE,Salem,OR,97305.0,4663 Lancaster Dr NE,Salem,OR,97305.0,(503) 393-7121, Pre,pmhane@comcast.net,Ms,Patricia,Haneberg,,pmhane@comcast.net,Board Chairman
222,Sonrise Christian School dba Sisters Christian Academy,15211 McKinney Butte Rd,Sisters,OR,97759.0,PO Box 1103,Sisters,OR,97759.0,(541) 549-4133, Pre-8,pmiller@sisterschristianacademy.com,Ms,Peggy,Miller,(541) 543-4133,pmiller@sonrisechristianschool.com,Administrator
223,Horizion Christian Schools,7400  SW Sagert St,Tualatin,OR,97062.0,P O Box 4190,Tualatin,OR,97062.0,(503) 692-9312, Pre-12,btinnin@horizoncampus.org,Ms,Pam,Pries,(503) 692-9312,ppries@gcc-tualatin.org,Principal
